runtime model thread car n
1.932554579 city 1 10 10
8.667960393 city 1 10 100
3.771433031 city 1 10 50
5.236683164 city 1 100 10
74.101284793 city 1 100 100
34.264895686 city 1 100 50
45.108999446 city 1 1000 10
708.153680040 city 1 1000 100
330.431950594 city 1 1000 50
.702275769 city 2 10 10
3.509255156 city 2 10 100
1.934954706 city 2 10 50
2.924797010 city 2 100 10
31.588021010 city 2 100 100
15.738519509 city 2 100 50
25.165509345 city 2 1000 10
308.221668525 city 2 1000 100
152.765035763 city 2 1000 50
.628686553 city 4 10 10
3.341628458 city 4 10 100
1.849644334 city 4 10 50
3.187193292 city 4 100 10
41.733518335 city 4 100 100
21.207495033 city 4 100 50
27.355632302 city 4 1000 10
441.895642559 city 4 1000 100
198.333972567 city 4 1000 50
.606166888 city 6 10 10
3.052374356 city 6 10 100
1.650540934 city 6 10 50
3.495203824 city 6 100 10
43.462794373 city 6 100 100
19.873743748 city 6 100 50
33.475519800 city 6 1000 10
442.330229736 city 6 1000 100
218.043488280 city 6 1000 50
.617761350 city 8 10 10
4.466313788 city 8 10 100
2.063515542 city 8 10 50
3.393076175 city 8 100 10
43.347164245 city 8 100 100
21.221217335 city 8 100 50
30.272550205 city 8 1000 10
450.628602801 city 8 1000 100
209.881797588 city 8 1000 50
1.929280654 complete 1 10 10
120.999553515 complete 1 10 100
25.247153050 complete 1 10 50
7.162574710 complete 1 100 10
.943045726 random 1 10 10
2.048695042 random 1 10 100
1.545534526 random 1 10 50
1.777168176 random 1 100 10
24.359700262 random 1 100 100
14.521846038 random 1 100 50
11.574442384 random 1 1000 10
252.273399798 random 1 1000 100
94.091482913 random 1 1000 50
.668431696 random 2 10 10
1.347770928 random 2 10 100
.958286912 random 2 10 50
1.122687393 random 2 100 10
10.251403049 random 2 100 100
7.290471891 random 2 100 50
8.669209136 random 2 1000 10
98.786769266 random 2 1000 100
40.488548845 random 2 1000 50
.516374632 random 4 10 10
1.568616372 random 4 10 100
.740824147 random 4 10 50
1.168244145 random 4 100 10
12.984936032 random 4 100 100
6.688115353 random 4 100 50
11.142645265 random 4 1000 10
116.070864002 random 4 1000 100
62.741068020 random 4 1000 50
.473437318 random 6 10 10
1.077160093 random 6 10 100
.637002597 random 6 10 50
.988157340 random 6 100 10
12.661986556 random 6 100 100
6.330940060 random 6 100 50
8.802697335 random 6 1000 10
140.465943986 random 6 1000 100
60.605822673 random 6 1000 50
.495338107 random 8 10 10
1.068473893 random 8 10 100
.764232873 random 8 10 50
.976443382 random 8 100 10
7.264089142 random 8 100 100
7.262201302 random 8 100 50
12.144567417 random 8 1000 10
89.816738663 random 8 1000 100
52.696998901 random 8 1000 50
1.243923612 complete 1 10 10
1.243923612 complete 1 10 10
126.165690354 complete 1 10 100
24.905568676 complete 1 10 50
7.227423981 complete 1 100 10
996.641496534 complete 1 100 100
174.642726602 complete 1 100 50
63.745214996 complete 1 1000 10
7986.583224758 complete 1 1000 100
1.264168011 complete 2 10 10
41.136451420 complete 2 10 100
10.827391151 complete 2 10 50
3.649820019 complete 2 100 10
307.075142954 complete 2 100 100
70.296069928 complete 2 100 50
29.466970684 complete 2 1000 10
2476.942641677 complete 2 1000 100
664.667675603 complete 2 1000 50
1.073446647 complete 4 10 10
33.512402188 complete 4 10 100
9.300310610 complete 4 10 50
4.426885188 complete 4 100 10
345.148601188 complete 4 100 100
86.447645604 complete 4 100 50
41.871895527 complete 4 1000 10
3010.605962875 complete 4 1000 100
.666148004 complete 6 10 10
29.576204118 complete 6 10 100
7.805152385 complete 6 10 50
4.682101501 complete 6 100 10
404.220722167 complete 6 100 100
95.777827922 complete 6 100 50
45.499975278 complete 6 1000 10
.790339107 complete 8 10 10
44.938151201 complete 8 10 100
11.917871896 complete 8 10 50
4.889345240 complete 8 100 10
451.835691685 complete 8 100 100
106.926732832 complete 8 100 50
49.777147342 complete 8 1000 10
4291.483869604 complete 8 1000 100
1032.942977267 complete 8 1000 50
3695.729076923 complete 6 1000 100
1070.371319066 complete 6 1000 50
3010.605962875 complete 4 1000 100
859.043363915 complete 4 1000 50
2476.942641677 complete 2 1000 100
664.667675603 complete 2 1000 50
7986.583224758 complete 1 1000 100
1725.668099200 complete 1 1000 50
